ГруппаВакансий,ОпытРаботы,НазваниеДолжности,КлючевыеТребования,Знания,Навыки,Опыт
Fullstack-разработчик,1-3 года,Fullstack JavaScript Developer,"[""TypeScript"", ""Nest.JS"", ""Next.JS"", ""Node.js"", ""Docker"", ""React.js"", ""JavaScript"", ""Английский — B1 — Средний""]","[""Знание React.js и опыт работы на фронте"", ""Знание сетевых протоколов (TCP, IP, HTTP)"", ""Знание и понимание языка TypeScript, JavaScript"", ""Понимание ООП. Знание design patterns"", ""Coблюдение принципов KISS, SOLID, Clean Architecture"", ""Git""]",,"[""Опыт коммерческой разработки под Node.js от 2-x лет"", ""Опыт работы с Nest.js"", ""Опыт работы с базами данных (SQL и NoSQL)"", ""Опыт работы с Docker""]"
Fullstack-разработчик,1-3 года,"Инженер-программист (С++, Qt/QML)","[""Qt"", ""C++"", ""Cmake"", ""GUI"", ""makefile""]","[""знание С++, Qt/QML"", ""Знание классических алгоритмов и структур данных"", ""Знание практик разработки и тестирования кода""]","[""Умение работать с Makefile, cmake""]","[""Опыт самостоятельного проектирования GUI""]"
Fullstack-разработчик,1-3 года,Fullstack разработчик,"[""JavaScript"", ""Python"", ""HTML5"", ""Linux""]","[""Уверенное знание языков Python, JavaScript (ES5, ES6), SQL"", ""Знание протоколов HTTP/HTTPS"", ""Знание и применение на практике базовых принципов разработки (KISS/DRY, SOLID)"", ""Знание протоколов MQTT, SFTP"", ""Знание языка C""]","[""Навыки работы с HTML5/CSS3"", ""Навыки работы в Figma"", "" Навыки работы с системами контроля версий (Git)"", ""Уверенная работа в системе Linux (Shell, Bash)""]","[""опыт разработки и тестирования REST API"", ""Опыт работы с Docker и Docker Compose"", ""Опыт коммерческой web-разработки от года"", ""Опыт разработки SaaS-приложений"", ""Опыт работы с препроцессингом (Sass, Less, Stylus)"", ""Опыт работы с FastAPI"", ""Опыт работы с ELK/Loki, Grafana"", ""Опыт настройки и работы с NGINX"", ""Опыт работы по гибким методологиям разработки (Scrum, XP)"", ""Опыт разработки микросервисов"", ""Опыт написания юнит и интеграционных тестов"", ""Опыт работы с S3 хранилищами"", ""Опыт работы со встраиваемыми системами (RTOS или Linux-based)"", ""Опыт работы с беспроводными технологиями (Bluetooth 5.0+, 802.11n+, UWB)"", ""Опыт работы с ffmpeg/gstreamer""]"
Fullstack-разработчик,1-3 года,Разработчик .NET/C#,,"[""Уверенные знания и опыт разработки на .NET/C#"", ""Знания в области алгоритмов, проектирования, архитектуры ПО"", ""знания и опыт в области CI/CD, контейнеризации, микросервисной архитектуры, инфраструктуры ПО, схем авторизации, логирования и мониторинга"", ""знания во фронтэнд-разработке, знание React или Angular""]","[""Навыки работы с реляционными базами данных, умение составлять сложные запросы на SQL"", ""Умение создавать приложения ASP.NET Core, работать с Entity Framework""]","[""Опыт в программировании от 1 года"", ""опыт разработки на .NET/C#""]"
Fullstack-разработчик,1-3 года,Разработчик Bitrix Framework (junior),"[""1С-Битрикс"", ""Умение работать в коллективе"", ""Планирование карьеры""]","[""Понимание основ разработки на Bitrix Framework"", ""Понимание как подключить готовую верстку к CMS"", ""Сертификаты Bitrix Framework"", ""Сертификаты об обучении в Hexlet""]","[""Умение добавлять и настраивать инфоблоки""]",
Fullstack-разработчик,нет опыта,Стажёр в группу RnD (Research and Development),"[""Разработка ПО"", ""Linux"", ""FPGA"", ""ПЛИС"", ""C/C++"", ""Python"", ""TCP/IP""]",,"[""Программирование под FPGA — Verilog/SystemVerilog"", ""Программирование на языках C, Python, Bash"", ""Linux — работа в консоли, системное администрирование, системное программирование (демоны, утилиты), программирование ядра и драйверов"", ""Сети — Ethernet, TCP/IP, Kernel bypass техники (DPDK, Netmap)"", ""Синхронизация — протоколы PTP, NTP, SyncE"", ""Работа с измерительными приборами — осциллографы, тестеры Ethernet сетей""]",
Fullstack-разработчик,1-3 года,Fullstack PHP Developer,"[""JavaScript"", ""MySQL"", ""Git"", ""PHP"", ""MongoDB""]","[""Отличное владение: PHP(не ниже 7.2), JavaScript (jQuery)"", ""Уверенное знание MySQL (оптимизация запросов)"", ""Опыт работы с RESTful/RESTLike API"", ""Описание API через Swagger"", ""Понимание MongoDB"", ""Опыт работы: с высоконагруженными системами"", ""Знание: ООП, Паттернов проектирования"", ""Опыт работы в команде с использованием GIT, bitbucket"", ""Знание фреймворков CodeIgniter / Yii2"", ""Знание Docker.""]",,
Fullstack-разработчик,1-3 года,Middle Java разработчик (Fullstack),"[""Git"", ""Java"", ""PostgreSQL"", ""Spring Framework"", ""JavaScript""]","[""отлично владеешь Java (опыт разработки от 1,5 лет) и Spring Framework"", ""работал с PostgreSQL"", ""знаком с JavaScript (желательно с ExtJS)"", ""уверенно владеешь Git"", ""работал с задачами как back-end, так и front-end""]",,
Fullstack-разработчик,1-3 года,"Middle Fullstack Developer (.Net, удаленно)","["".NET Core"", ""Angular"", ""JavaScript"", ""MongoDB"", ""WebSockets"", ""MS SQL"", ""PostgreSQL""]","[""Коммерческий опыт разработки серверной части приложений на ASP.NET Core от 2 лет"", ""Опыт программирования на JavaScript (ES5/ES6)"", ""Понимание принципов работы WebSockets"", ""Опыт работы с SQL (MS SQL или PostgreSQL)"", ""Уверенное знание Git.""]",,
Fullstack-разработчик,1-3 года,"Fullstack JavaScript Developer
","[""TypeScript"", ""Nest.JS"", ""Next.JS"", ""Node.js"", ""Docker"", ""React.js"", ""JavaScript""]","[""Опыт коммерческой разработки под Node.js от 2-x лет"", ""Знание React.js и опыт работы на фронте"", ""Знание сетевых протоколов (TCP, IP, HTTP)"", ""Знание и понимание языка TypeScript, JavaScript"", ""Опыт работы с Nest.js"", ""Опыт работы с базами данных (SQL и NoSQL)"", ""Опыт работы с Docker"", ""Понимание ООП. Знание design patterns"", ""Coблюдение принципов KISS, SOLID, Clean Architecture"", ""Git""]",,
Fullstack-разработчик,1-3 года,PHP-программист (fullstack),"[""Yii2"", ""Git"", ""Docker"", ""jQuery""]","[""Знание PHP - понимание ООП и MVC, умение применять на практике"", ""Опы работы с Yii 2 обязателен"", ""Владение системой контроля версий Git, знание Docker, JQuery, умение верстать адаптивно""]",,
Fullstack-разработчик,1-3 года,Fullstack-разработчик,"[""JavaScript"", ""Git"", ""PHP"", ""Linux"", ""PostgreSQL"", ""Docker"", ""React"", ""Laravel""]","[""JavaScript, React"", ""PHP, опыт работы с популярными фреймворками"", ""понимание и применение на практике ООП, паттернов проектирования, принципов GRASP, SOLID"", ""опыт работы с реляционными СУБД (PostgreSQL)"", ""базовый опыт администрирования Linux-серверов"", ""Docker, Git""]",,
Fullstack-разработчик,1-3 года,Программист Fullstack,"[""Git"", ""JavaScript"", ""MySQL"", ""CSS"", ""PHP""]","[""Уверенные знания PHP(7."", ""), Mysql, JS, CSS, HTML"", ""Опыт работы с системами контроля версий (git)"", ""Сайт на 1С-Битрикс + crm Битрикс24"", ""Будет плюсом знание React или Angular""]",,
Fullstack-разработчик,1-3 года,Fullstack разработчик (React и Node.js),"[""JavaScript"", ""MySQL"", ""Node.js"", ""React""]","[""Frontend: React.js (уверенное знание нативного Javascript, ES6)"", ""Backend: Node.js (уверенное знание, работа с файлами, БД, RESTful API/Websocket)"", ""DB: Уверенное знание MySQL/PostgreSQL""]",,
Fullstack-разработчик,1-3 года,"Fullstack PHP, WEB-разработчик, удаленно","[""PHP"", ""MySQL"", ""jQuery"", ""HTML"", ""CSS""]","[""Знания PHP, желание развиваться в этом языке"", ""Опыт работы с MySQL"", ""Опыт написания скриптов на JS, JQ"", ""Умение работать с HTML и CSS""]",,
Fullstack-разработчик,1-3 года,"Разработчик/стажер Android/iOs (React Native, node.js, Fullstack)","[""JavaScript"", ""Git"", ""ReactJS"", ""React Native"", ""Node.js"", ""iOS"", ""Android SDK""]",,,
Fullstack-разработчик,1-3 года,Fullstack Developer (Фулстек-разработчик),"[""JavaScript"", ""PHP"", ""PostgreSQL"", ""Redis""]","[""Технологический стек:"", ""PHP 8+"", ""Laravel"", ""Реляционные СУБД: MySQL, PostgreSQL"", ""Нереляционные СУБД: Redis"", ""ElasticSearch"", ""Система очередей RabbitMQ"", ""Composer"", ""Git/GitLab"", ""REST, GraphQL"", ""WebSocket"", ""Docker"", ""HTML, CSS, JS (ES6+)"", ""Apache, Nginx"", ""Supervisor"", ""Vue 3 JS/TS и вспомогательные библиотеки"", ""(Vuex, Vue Router)"", ""Nuxt.js"", ""REST API"", ""VipNet""]",,
Fullstack-разработчик,1-3 года,Fullstack разработчик на PHP,"[""Git"", ""MySQL"", ""PHP"", ""JavaScript"", ""ООП"", ""HTML"", ""CSS"", ""Bootstrap"", ""Веб-программирование"", ""Создание сайтов"", ""Web-дизайн"", ""Кроссбраузерная верстка"", ""Laravel"", ""VueJS"", ""Docker"", ""PHP7""]","[""Обязательно:"", ""знание PHP, в том числе PHP7 и понимание ООП"", ""знание HTML и CSS"", ""знание bootstrap и навыки кроссбраузерной верстки"", ""следование принципам PSR."", ""Преимуществом будет:"", ""знание Laravel, Vue.JS, JQuery"", ""знание XSLT и SQL"", ""опыт работы с MySQL на продвинутом уровне (сложные запросы, оптимизация запросов)"", ""опыт взаимодействия с 1С"", ""опыт работы с CRM, системами оплаты и системами доставки"", ""опыт написания и поддержки веб-сервисов, дизайна API"", ""опыт командной работы"", ""опыт работы с git и Docker.""]",,
Fullstack-разработчик,1-3 года,"Разработчик Fullstack (PHP, JavaScript)","[""MongoDB"", ""Git"", ""Symfony"", ""JavaScript"", ""CSS"", ""PHP"", ""HTML""]","[""Обязательно опыт разработки на PHP."", "" Знания и наличие опыта разработки JavaScript, HTML, CSS."", "" Понимание REST."", "" Опыт работы с базами данных MongoDB, MySQL."", "" Навык работы с чужим кодом и оптимизации решений."", ""Приветствуется:"", "" Знания структуры web-приложений (frontend, backend, их взаимодействие)"", "" Опыт использования системы контроля версий (git)"", "" Опыт работы с MVC-фреймворками (Yii, Symfony, Phalcon и др.)"", "" Администрирование UNIX систем"", "" Опыт работы с docker, vagrant.""]",,
Fullstack-разработчик,1-3 года,Middle Fullstack Developer React.js/Node.js,"[""JavaScript"", ""Node.js"", ""Git"", ""MongoDB"", ""React.js"", ""React"", ""JS""]","[""Опыт работы на клиентской стороне - React, Redux, JavaScript."", ""Опыт работы на серверной: Node.js, Express.js, MongoDB"", ""Интеграции с различными API""]",,
Fullstack-разработчик,1-3 года,Full stack программист JavaScript (Junior),"[""Git"", ""Английский язык"", ""Linux"", ""JavaScript"", ""Высшее образование"", ""SQL""]","[""Имеешь законченное высшее техническое образование"", ""Обладаешь гибким живым умом, быстро учишься и осваиваешь новые технологии, умеешь использовать паттерны проектирования"", ""Опыт работы с системой контроля версий git"", ""Уверенное пользование ОС Linux и MS Windows"", ""Уверенное знание JavaScript (ES6)"", ""Дополнительными плюсами будут:"", ""Навыки UX/UI дизайна."", ""Знание других языков программирования (Python, C++, C#, Rust)"", ""Опыт работы с СУБД MySQL , PostgreSQL, MongoDB"", ""Английский язык на уровне чтения технической документации."", ""• Наш стек:"", ""• React"", ""• Redux"", ""• GraphQL"", ""• Docker"", ""• Express"", ""• Electron"", ""• Tauri""]",,
Fullstack-разработчик,1-3 года,"Full-stack разработчик (JavaScript, Node.js)",,"[""Знание основных структур данных, анализ big-O"", ""Опыт работы с компьютерными сетями"", ""Опыт разработки с использованием облачной инфраструктуры, и таких сервисов как AWS, Slack, Jenkins, Docker"", ""Знание Matlab"", ""Владение Node.js"", ""Опыт работы с различными современными web-сервисами, понимание HTTP и TCP/IP"", ""Хорошее знание Linux"", ""Английский – от Upper-Intermediate"", ""Будет плюсом:"", ""Владение основами цифровой обработки сигналов"", ""Умение работать с пиксельными изображениями"", ""Знание C++, STL и многопоточного программирования"", ""Знание JavaScript / TypeScript""]",,
Fullstack-разработчик,1-3 года,"Fullstack программист / разработчик (PHP, Node.js, Vue.js, Laravel)",,"[""HP 8.1., JS, Node.JS, CSS3, Laravel 9.x, Vue.JS 2.x, Nuxt.JS 2.x, MariaDB 10.5, Redis, RabbitMQ, Nginx, Linux, Docker, Git, GitLab CI/CD"", ""разработка интерактивного и динамичного пользовательского интерфейса по дизайн-макету"", ""интеграция с базами данных и сторонним ПО""]",,
Fullstack-разработчик,1-3 года,Fullstack web разработчик,"[""JavaScript"", ""HTML"", ""CSS""]","[""Опыт работы с JS, HTML5, CSS3, (Flexbox, Grid Layout, Media Queries.""]",,
Fullstack-разработчик,1-3 года,JavaScript Developer specialist (Junior),"[""Git"", ""Node.js"", ""SQL"", ""Docker"", ""Английский язык"", ""JavaScript"", ""PostgreSQL""]","[""Опыт работы с js / TypeScript / node.js"", ""Опыт работы с git (merge, rebase)"", ""Английский на уровне чтения технической литературы"", ""Коммуникативные навыки"", ""Плюсом будет:"", ""опыт работы с системами виртуализации/контейнерами (Docker)"", ""умение писать запросы в БД (JSON REST API, GraphQL, GRPC)""]",,
Fullstack-разработчик,1-3 года,Full-stack программист-разработчик,"[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Разработка ПО"", ""Web Application Development"", ""Git"", ""Linux"", ""API"", ""Flask"", ""FastAPI"", ""Python""]","[""Уверенное владение языками программирования Python и Javascript"", ""Знание HTML, CSS"", ""Опыт работы с React/Svelte на фронтенде, Flask/FastAPI на бэкенде"", ""Опыт работы и понимание принципов работы API"", ""Опыт настройка взаимосвязей frontend с backend и его дальнейшее маштабирование"", ""Уверенное знание OC Linux, Docker"", ""Опыт работы с системой контроля версий git""]",,
Fullstack-разработчик,1-3 года,JS Fullstack разработчик,,"[""уверенное знание одного из фреймворков VueJS или React."", "" хорошие знания верстки (HTML5, CSS3)"", ""VueJS / React"", "" NodeJS"", "" TypeScript"", "" MySQL (Postgres)"", "" API, WebSockets"", "" Git""]",,
Fullstack-разработчик,1-3 года,Full-stack React разработчик,"[""Full-stack React разработчик""]","[""Опыт работы с React (1-3 года)"", ""Опыт работы с Node.js/Express backend"", ""Уверенное знание ES6-12"", ""Опыт работы с Git"", ""Понимание принципов разработки распределенных приложений REST, BFF"", ""Плюсом будет:"", ""Опыт работы с Docker, Kubernetes"", ""Опыт разработки под GCP"", ""Понимание протоколов авторизации""]",,
Fullstack-разработчик,1-3 года,Веб-разработчик (full-stack),"[""PHP"", ""1С-Битрикс"", ""JavaScript"", ""CSS"", ""Bitrix"", ""Bitrix24"", ""Логическое мышление"", ""CSS-верстка"", ""HTML/CSS"", ""MariaDB"", ""SSH""]","[""Опыт администрирования платформы 1С-Битрикс и Wordpress"", "" Будет плюсом наличие сертификата «Разработчик Bitrix Framework»"", "" Опыт работы с РНР, JavaScript, CSS, понимание серверной инфраструктуры""]",,
Fullstack-разработчик,1-3 года,Ведущий инженер-программист,"[""AVEVA"", ""SQL"", ""MS SQL"", ""SCADA"", ""JS"", ""Python""]",,,
Fullstack-разработчик,1-3 года,JavaScript fullstack developer,"[""Node.js"", ""JavaScript"", ""CSS"", ""HTML"", ""React.js"", ""HTTP"", ""Jira"", ""Express""]","[""обязателен опыт разработки на JavaScript (желательно коммерческий, но отсутствие не будет решающим фактором)"", ""знание HTML\\ CSS"", ""опыт работы с NodeJS, ES6"", ""опыт работы с React.js (Redux.js)"", ""понимание принципов ООП"", ""знание HTTP протокола."", ""Большим плюсом будет:"", ""опыт работы с WebRTC и web-sockets"", ""умение работать с анимацией и звуком в браузере"", ""желание развиваться и изучать новые технологии.""]",,
Fullstack-разработчик,1-3 года,Full-stack разработчик,"[""JavaScript"", ""React"", ""Node.js"", ""PHP""]","[""ы понимаешь принципы ООП"", "" хорошие знания HTML 5, CSS 3, Javascript"", "" у тебя есть опыт в коммерческих проектах на React от 3-х лет"", "" есть опыт с Nodejs, Express, sql, NestJS"", "" будет большим плюсом опыт работы с Laravel/PHP"", "" будет плюсом знание Python, go, MongoDB, aws, опыт создания ERD"", "" ты чувствуешь себя комфортно, работая в команде и сам на себя"", "" у тебя есть желание обучаться новым технологиям и помогать товарищам по команде решить необычные задачки"", "" приветствуется знание английского и опыт удаленной работы"", "" есть умение и желание самостоятельно работать над задачами, искать и находить необходимую информацию"", "" понимание принципов клиент-серверного взаимодействия"", "" будет большим плюсом опыт работы с чужим кодом, в том числе legacy и рефакторинг подобного код с нуля"", "" глубокие знания работы с git.""]",,
Fullstack-разработчик,1-3 года,PHP-разработчик / Fullstack developer,"[""PHP"", ""Laravel"", ""WebSockets"", ""Docker"", ""Vue.js"", ""REST API"", ""SQL"", ""HTML"", ""CSS"", ""Git""]","[""Уверенный кодинг (именно сам кодинг, а не уровень владения фреймворком)"", ""Опыт работы с WebSockets"", ""Уверенная работа с консолью"", ""Опыт работы с Docker"", ""Опыт командной работы"", ""Умение работать с GIT"", ""Опыт разработки и поддержки многостраничных приложений созданных на Laravel"", ""Опыт работы с другими бэкенд-технологиями будет плюсом"", ""Умение разбираться в чужом коде и производить оценку задач"", ""Опыт разработки архитектуры, прототипирования будущих решений, оценки""]",,
Fullstack-разработчик,1-3 года,Программист-разработчик,"["".NET Framework"", ""JavaScript"", ""Avalonia"", ""WinForms"", ""C#""]","[""опыт программирования на C# от 2 лет"", ""знание SQL и опыт применения промышленных СУБД (предпочтительно MS SQL, Oracle, PostgreSQL)"", ""понимание и применение принципов ООП, SOLID, паттернов проектирования."", ""Пригодятся:"", ""опыт разработки на WPF, JavaScript, JQuery"", ""опыт проектирования UX/UI"", ""знание принципов работы web-технологий"", ""знание архитектуры СУБД, умение анализировать план выполнения SQL-запросов, базовые навыки администрирования"", ""опыт разработки и миграции проектов на .NET Core, ASP.NET Core, PostgreSQL"", ""опыт многопоточного программирования""]",,
Fullstack-разработчик,1-3 года,Fullstack-разработчик,"[""PHP"", ""JavaScript"", ""1С-Битрикс"", ""CSS"", ""HTML""]","[""Знание PHP, JS, HTML+CSS""]",,
Fullstack-разработчик,1-3 года,Android разработчик,"[""Kotlin"", ""Android SDK"", ""Docker"", ""Gitlab"", ""Room"", ""Jetpack Compose"", ""Сoroutines""]","[""Опыт разработки под Android от 2-х лет (Android SDK)"", ""Уверенное знание Kotlin, coroutines, flow"", ""Опыт работы с Hilt, Room, Jetpack Compose"", ""Понимание принципов SOLID, MVVM, DI, IoC, REST API, сетевого стека TCP/IP"", ""Знание SQL"", ""Умение тестировать свой код"", ""Опыт работы с Git"", ""Плюсом будет опыт работы с:"", ""Android NDK"", ""Linux"", ""Docker контейнерами (для CI, тестирования)"", ""bugtracking системами (YouTrack)"", ""VoIP""]",,
Fullstack-разработчик,1-3 года,Fullstack JavaScript разработчик,"[""JavaScript"", ""Node.js"", ""API"", ""MySQL"", ""React.js""]","[""Frontend: React.js (знание нативного Javascript, ES6, Mobx/Redux)"", ""Backend: Node.js/Express (уверенное знание, работа с файлами, БД, RESTful API/Websocket)"", ""DB: Уверенное знание MySQL/PostgreSQL (CRUD, JOIN).""]",,
Fullstack-разработчик,1-3 года,Middle Fullstack-разработчик Vue/JS,"[""SQL"", ""MS SQL"", ""JavaScript"", ""HTML"", ""Vue.JS"", ""CSS""]","[""Опыт разработки на HTML, CSS, JS, Vue.js."", ""Опыт работы с MS SQL."", ""Опыт работы с Git.""]",,
Fullstack-разработчик,1-3 года,"Junior веб-программист/Стажер (PHP, Bitrix)","[""HTML"", ""Английский язык"", ""CSS"", ""SQL"", ""1С-Битрикс""]","[""Обладаешь опытом администрирования порталов и сайтов не менее одного года."", ""Уверенное владеешь HTML, CSS, навыки использования PHP.""]",,
Fullstack-разработчик,1-3 года,FullStack Developer (Middle),"[""JavaScript"", ""MySQL"", ""MongoDB"", ""TypeScript"", ""Vue"", ""Vite""]","[""разработка веб-приложений и сервисов"", ""оптимизация кода и производительности приложений"", ""разработка мобильных приложений под Android и iOS"", ""проектирование новых фич, развитие продукта"", ""взаимодействие с участниками сильной продуктовой команды"", ""Будет плюсом:"", ""Владение TypeScript"", ""Опыт написания тестов.""]",,
Fullstack-разработчик,1-3 года,"Junior Full Stack Developer (PL/SQL, PL/pgSQL, JavaScript, Go, C)","[""PostgreSQL"", ""ООП"", ""SQL"", ""Opensource"", ""Big Data"", ""C/C++""]","[""Знание деталей стандарта HTTP"", ""Знание и опыт PostgreSQL (PL/pgSQL)"", ""Хорошее понимание парадигм программирования: функциональное, ООП,"", ""процедурное"", ""Опыт написания кода на 3-х основных языках, например участие в"", ""OpenSource проектах"", ""Широкий кругозор в IT, желание исследовать новое, искать эффективные"", ""решения \""нерешаемых\"" проблем в условиях технических ограничений"", ""Плюсом будут:"", ""Знание Clojure, Rust, Nim"", ""Опыт работы с BigData (Hadoop, Kafka)"", ""Опыт работы с SQL/NewSQL/NoSQL.""]",,
Fullstack-разработчик,1-3 года,Web-разработчик (full stack),"[""JavaScript"", ""Веб-программирование""]","[""опыт работы с Git, Console, Linux, Nginx,"", ""знание Drupal, React.""]",,
Fullstack-разработчик,1-3 года,Инженер программист Fullstack (офис),"[""Linux"", ""Python"", ""HTML"", ""CSS"", ""Git"", ""vue"", ""celery"", ""Redis"", ""Django Framework""]","[""Высшее профильное образование,"", ""опыт разработки Web-проектов на Python"", ""(Django),"", ""владение front-end стеком(html, css, vue),"", ""уверенное владение Git,"", ""умение базового администрирования Linux-серверов для запуска"", ""веб-приложения."", ""Будет плюсом:"", ""Опыт работы с такими пакетами, как djangorestframework, celery, redis,"", ""опыт работы с веб-сокетами.""]",,
Fullstack-разработчик,1-3 года,"Javascript fullstack (React.js, Node.js) разработчик","[""JavaScript"", ""Node.js"", ""MySQL"", ""React"", ""Git""]","[""Frontend: React.js (уверенное знание)"", ""Backend: Node.js (уверенное знание, работа с файлами, БД, RESTful API/Websocket)"", ""DB: MySQL/PostgreSQL (уверенное знание, CRUD, JOIN)""]",,
Fullstack-разработчик,1-3 года,Fullstack (React.js) developer,"[""react"", ""JavaScript""]","[""Уверенное владение React.js (v18), HTML, CSS, и JavaScript."", ""Знание Next.js или Nuxt."", ""Опыт работы с GraphQL или REST API."", ""Глубокое понимание UI/UX принципов и технологий responsive дизайна."", ""Знакомство с системами контроля версий, в частности с Git."", ""Будем плюсом, если есть:"", ""Опыт работы с генераторами статических сайтов, такие как Gatsby."", ""Знание Astro."", ""Понимание базовых принципов технического SEO."", ""Знакомство с препроцессорами CSS, такими как SASS или LESS.""]",,
Fullstack-разработчик,1-3 года,Программист C++/Qt (junior / backend / frontend),"[""C++"", ""Qt"", ""CMake"", ""Git"", ""MongoDB"", ""Boost""]","[""опыт работы с gtest, git, ОС Linux / Windows"", ""для backend опыт работы с CMake, С++ (стандарты 11-17), STL"", ""для frontend опыт работы с Qt(QML)"", ""знание принципов ООП."", ""Дополнительным плюсом будет:"", ""опыт работы с:"", ""— no-sql базами данных (mongoDB)"", ""— библиотеками boost"", ""— системами управления проектов.""]",,
Fullstack-разработчик,1-3 года,Fullstack Developer (Фулстек-разработчик),"[""JavaScript"", ""PHP"", ""PostgreSQL"", ""Redis""]","[""Технологический стек:"", ""PHP 8+"", ""Laravel"", ""Реляционные СУБД: MySQL, PostgreSQL"", ""Нереляционные СУБД: Redis"", ""ElasticSearch"", ""Система очередей RabbitMQ"", ""Composer"", ""Git/GitLab"", ""REST, GraphQL"", ""WebSocket"", ""Docker"", ""HTML, CSS, JS (ES6+)"", ""Apache, Nginx"", ""Supervisor"", ""Vue 3 JS/TS и вспомогательные библиотеки"", ""(Vuex, Vue Router)"", ""Nuxt.js"", ""REST API"", ""VipNet""]",,
Fullstack-разработчик,1-3 года,Middle Fullstack Developer,,"[""Имеет опыт коммерческой работы с React"", ""Имеет опыт разработки, поддержки приложений на .net платформе. .Net Framework и .Net Core"", ""Отлично знает javascript и typescript"", ""Сам разрабатывал приложения с нуля и самостоятельно выбирал архитектуру"", ""Знает жизненный цикл react компонентов и как оптимизировать отрисовку компонентов"", ""Умеет верстать с использованием css-modules или postcss""]",,
Fullstack-разработчик,1-3 года,Junior Full-stack Web Developer,"[""HTML5"", ""CSS3"", ""JavaScript"", ""ColdFusion"", ""Atlassian Jira"", ""SQL"", ""Web Application Development"", ""jQuery"", ""PHP""]","[""Понимание, знание специфики и опыт разработки web-приложений и/или pet-проекты."", ""Готовность изучать ColdFusion (язык программирования компании Adobe, широко распространенный в США). Синтаксис схож с Java / PHP."", ""Понимание и знание HTML5, CSS3, JavaScript и jQuery."", ""Понимание и знание SQL: вы не понаслышке знаете про join`ы, понимаете разницу и цели использования."", ""Понимание и знание любого скриптового языка бэкенда.""]",,
Fullstack-разработчик,1-3 года,Веб-разработчик (full-stack),"[""HTML5"", ""CSS3"", ""Bootstrap"", ""JavaScript"", ""Python"", ""REST API"", ""Linux"", ""C++""]","[""владеете HTML5, CSS3, Bootstrap (или иным актуальным CSS-фреймворком)"", ""знаете JavaScript: синтаксис и базовые конструкции, dom-манипуляции, манипуляции с данными, Fetch/Ajax, ООП, Promise, Async/Await, Regex"", ""писали бэкенд на одном из языков: Python/Java/C#"", ""умеете работать с REST API, в том числе путем генерации кода"", ""владеете Linux на уровне пользователя"", ""реализовывали deploy проектов, их поддержку"", ""используете инструменты отслеживания ошибок и контроля версий"", ""готовы работать в команде (одиночкам и фрилансерам будет сложно)."", ""Будет плюсом:"", ""понимание исходных текстов на С++"", ""опыт работы с Influx DB или TSDB"", ""опыт визуализации научных данных"", ""знание современных принципов разработки ПО"", ""знание техник оптимизации веб-приложений"", ""умение работать с чужим кодом"", ""навыки тестирования ПО.""]",,
Fullstack-разработчик,1-3 года,"Middle fullstack (C#, React) разработчик [Автоматизация ТМЦ]","[""C#"", "".NET Framework"", ""PHP"", ""react""]","[""опыт работы с .NET (Core) и React"", ""навыки создания/доработки веб-сайтов"", ""понимание работы и опыт разработки web-сервисов (SOAP, REST)"", ""понимание сетевых протоколов, сериализации"", ""опыт построения запросов к базам данных (MS SQL либо Oracle, либо PostgreSQL), оптимизация запросов, опыт работы с ORM"", ""опыт поддержки и сопровождение внедренных решений"", ""умение работать в команде, эффективно взаимодействовать с аналитиками и тестировщиками"", ""способность брать на себя ответственность, исполнительность, умение разбираться в чужом коде."", ""Будет твоим преимуществом:"", ""​​​​​​​​​​​​​​знание семантики/ протокола graphQL и grpc"", ""знание языка PHP, применение на практике"", ""умение настраивать и конфигурировать IIS"", ""опыт работы с Git и Jira"", ""опыт написания автотестов"", ""умение пользоваться api-клиентами и swagger"", ""навыки нагрузочного тестирования (Jmeter и т.п.)"", ""опыт работы с Elasticsearch и Kibana/Grafana"", ""опыт работы с любым брокером сообщений"", ""навыки развертывания приложений с использованием Docker/Kubernetes"", ""навыки профайлинга (оптимизации) приложений (ANTS Performance Profiler и т.п.)"", ""навыки работы с инструментарием захвата и анализа сетевого трафика (Wireshark и т.п.).""]",,
Fullstack-разработчик,1-3 года,PHP-разработчик / Fullstack Developer под Wordpress (удаленно),"[""PHP"", ""CMS Wordpress""]","[""Опыт работы с WordPress (обязательно опыт создания сложных проектов с нетиповым функционалом, со структурным хранением данных и пр..)"", ""Опыт разработки архитектурно сложных проектов (даже не самых успешных)"", ""Оптимизация MySQL запросов"", ""Отличное знание PHP, MySQL, JavaScript"", ""Уверенное владение HTML, CSS, JQuery"", ""Основы администрирования Linux: Shell, Apache, Nginx, MySQL, Cron"", ""Опыт работы с системами контроля версий (GIT)""]",,
Fullstack-разработчик,1-3 года,"Программист-разработчик (Full Stack, Type Script, Middle)",,"[""Глубокие знания HTML5 и CSS3 для создания современных пользовательских интерфейсов"", "" Опыт работы с TypeScript для разработки типизированного ПО"", "" Опыт работы с VUE JS для разработки динамических и масштабируемых веб-приложений"", "" Знание Node.js / Express.js для разработки серверной части приложений"", "" Опыт работы с MongoDB / Mongoose.js для эффективного управления базами данных"", "" Понимание основ Docker для контейнеризации приложений"", "" Умение работать с Git для версионирования кода"", "" Знание Jest для автоматизации тестирования"", "" Понимание основ UX / UI для создания удобного пользовательского опыта"", "" Знание Bush для оптимизации производительности веб-приложений""]",,
